id,title,artist,plays,audioFile
1,Birds of a Feather,Billie Eilish,1775172881,birdsOfAFeather.wav
2,Espresso,Sabrina Carpenter,1774525704,espresso.wav
3,Beautiful Things,Benson Boone,2110000000,beautifulThings.wav
4,Gata Only,FloyyMenor & Cris Mj,1499352664,gataOnly.wav
5,Lose Control,Teddy Swims,1700000000,loseControl.wav
6,End of Beginning,Djo,1236491217,endOfBeginning.wav
7,Too Sweet,Hozier,1350000000,tooSweet.wav
8,One Of The Girls,JENNIE & Lily-Rose Depp& The Weeknd,1711935308,oneOfTheGirls.wav
9,Cruel Summer,Taylor Swift,1170000000,cruelSummer.wav
10,Die With A Smile,Lady Gaga & Bruno Mars,1080000000,dieWithASmile.wav
